N1,N2,OPERADOR
6012093000,6012093799,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012093800,6012094999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012095000,6012095999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012096000,6012099999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012100000,6012129999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012130000,6012149999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012150000,6012163999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012164000,6012166999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012167000,6012168999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012169000,6012169999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012170000,6012170999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012171000,6012174299,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012174300,6012179999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012180000,6012181999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012182000,6012185999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012186000,6012189999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012190000,6012195999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012197000,6012197999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012199000,6012199999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012200000,6012201199,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012201200,6012201999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012202000,6012204099,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012204100,6012207999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012208000,6012209999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012210000,6012211999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012212000,6012212999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012213000,6012214999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012215000,6012218999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012219000,6012219999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012220000,6012221999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012222000,6012222999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012223000,6012223999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012224000,6012224999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012225000,6012226999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012227000,6012227999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012228000,6012229999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012230000,6012231999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012232000,6012233999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012234000,6012238999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012239000,6012239999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012240000,6012243999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012244000,6012245999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012246000,6012248999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012249000,6012249999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012250000,6012250999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012251000,6012251999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012252000,6012254999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012255000,6012255999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012256000,6012257999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012258000,6012259999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012260000,6012263999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012264000,6012268999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012269000,6012273999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
6012274000,6012275999,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP
